Species_name_Stace4,Family
Jacobaea aquatica,Asteraceae
Jacobaea erucifolia,Asteraceae
Jacobaea paludosa,Asteraceae
Jacobaea vulgaris,Asteraceae
Lactuca saligna,Asteraceae
Lactuca serriola,Asteraceae
Lactuca virosa,Asteraceae
Lapsana communis,Asteraceae
Leontodon hispidus,Asteraceae
Leontodon saxatilis,Asteraceae
Leucanthemum vulgare,Asteraceae
Limbarda crithmoides,Asteraceae
Logfia gallica,Asteraceae
Logfia minima,Asteraceae
Matricaria chamomilla,Asteraceae
Mycelis muralis,Asteraceae
Omalotheca norvegica,Asteraceae
Omalotheca supina,Asteraceae
Omalotheca sylvatica,Asteraceae
Onopordum acanthium,Asteraceae
Petasites albus,Asteraceae
Petasites fragrans,Asteraceae
Petasites hybridus,Asteraceae
Petasites japonicus,Asteraceae
Picris hieracioides,Asteraceae
Pilosella officinarum,Asteraceae
Pilosella peleteriana,Asteraceae
Pulicaria dysenterica,Asteraceae
Pulicaria vulgaris,Asteraceae
Saussurea alpina,Asteraceae
Scorzonera humilis,Asteraceae
Scorzoneroides autumnalis,Asteraceae
Senecio cambrensis,Asteraceae
Senecio eboracensis,Asteraceae
Senecio sylvaticus,Asteraceae
Senecio vulgaris,Asteraceae
Serratula tinctoria,Asteraceae
Silybum marianum,Asteraceae
Solidago virgaurea,Asteraceae
Sonchus arvensis,Asteraceae
Sonchus asper,Asteraceae
Sonchus oleraceus,Asteraceae
Sonchus palustris,Asteraceae
Tanacetum parthenium,Asteraceae
Tanacetum vulgare,Asteraceae
Taraxacum agg,Asteraceae
Tephroseris palustris,Asteraceae
Tragopogon pratensis,Asteraceae
Tripleurospermum inodorum,Asteraceae
Tripleurospermum maritimum,Asteraceae
Tripleurospermum maritimum,Asteraceae
Tripolium pannonicum,Asteraceae
Tussilago farfara,Asteraceae
Adoxa moschatellina,Adoxaceae
Sambucus ebulus,Adoxaceae
Sambucus nigra,Adoxaceae
Viburnum lantana,Adoxaceae
Viburnum opulus,Adoxaceae
Dipsacus fullonum,Caprifoliaceae
Dipsacus pilosus,Caprifoliaceae
Knautia arvensis,Caprifoliaceae
Linnaea borealis,Caprifoliaceae
Lonicera periclymenum,Caprifoliaceae
Scabiosa columbaria,Caprifoliaceae
Succisa pratensis,Caprifoliaceae
Valeriana dioica,Caprifoliaceae
Valeriana officinalis,Caprifoliaceae
Valerianella carinata,Caprifoliaceae
Valerianella dentata,Caprifoliaceae
Valerianella eriocarpa,Caprifoliaceae
Valerianella locusta,Caprifoliaceae
Valerianella rimosa,Caprifoliaceae
Hedera helix,Araliaceae
Hedera hibernica,Araliaceae
Hydrocotyle ranunculoides,Araliaceae
Hydrocotyle vulgaris,Araliaceae
Aegopodium podagraria,Apiaceae
Aethusa cynapium,Apiaceae
Angelica archangelica,Apiaceae
Angelica sylvestris,Apiaceae
Anthriscus caucalis,Apiaceae
Anthriscus sylvestris,Apiaceae
Apium graveolens,Apiaceae
Berula erecta,Apiaceae
Bunium bulbocastanum,Apiaceae
Bupleurum baldense,Apiaceae
Bupleurum rotundifolium,Apiaceae
Bupleurum tenuissimum,Apiaceae
Carum carvi,Apiaceae
Caucalis platycarpos,Apiaceae
Chaerophyllum temulum,Apiaceae
Cicuta virosa,Apiaceae
Conium maculatum,Apiaceae
Conopodium majus,Apiaceae
Crithmum maritimum,Apiaceae
Daucus carota,Apiaceae
Eryngium campestre,Apiaceae
Eryngium maritimum,Apiaceae
Foeniculum vulgare,Apiaceae
Helosciadium inundatum,Apiaceae
Helosciadium nodiflorum,Apiaceae
Helosciadium repens,Apiaceae
Heracleum mantegazzianum,Apiaceae
Heracleum sphondylium,Apiaceae
Imperatoria ostruthium,Apiaceae
Ligusticum scoticum,Apiaceae
Meum athamanticum,Apiaceae
Oenanthe aquatica,Apiaceae
Oenanthe crocata,Apiaceae
Oenanthe fistulosa,Apiaceae
Oenanthe fluviatilis,Apiaceae
Oenanthe lachenalii,Apiaceae
Oenanthe pimpinelloides,Apiaceae
Oenanthe silaifolia,Apiaceae
Pastinaca sativa,Apiaceae
Petroselinum crispum,Apiaceae
Peucedanum officinale,Apiaceae
Peucedanum ostruthium,Apiaceae
Physospermum cornubiense,Apiaceae
Pimpinella major,Apiaceae
Pimpinella saxifraga,Apiaceae
Sanicula europaea,Apiaceae
Scandix pecten-veneris,Apiaceae
Selinum carvifolia,Apiaceae
Seseli libanotis,Apiaceae
Silaum silaus,Apiaceae
Sison amomum,Apiaceae
Sison segetum,Apiaceae
Sium latifolium,Apiaceae
Smyrnium olusatrum,Apiaceae
Thysselinum palustre,Apiaceae
Torilis arvensis,Apiaceae
Torilis japonica,Apiaceae
Torilis nodosa,Apiaceae
Trinia glauca,Apiaceae
Trocdaris verticillata,Apiaceae
Arum italicum,Araceae
Arum maculatum,Araceae
Lemna gibba,Araceae
Lemna minor,Araceae
Lemna minuta,Araceae
Lemna trisulca,Araceae
Lemna turionifera,Araceae
Lysichiton americanus,Araceae
Spirodela polyrhiza,Araceae
Spirodela polyrhiza,Araceae
Wolffia arrhiza,Araceae
Tofieldia pusilla,Tofieldiaceae
Alisma gramineum,Alismataceae
Alisma lanceolatum,Alismataceae
Alisma plantago-aquatica,Alismataceae
Baldellia ranunculoides,Alismataceae
Damasonium alisma,Alismataceae
Luronium natans,Alismataceae
Sagittaria latifolia,Alismataceae
Sagittaria sagittifolia,Alismataceae
Butomus umbellatus,Butomaceae
Egeria densa,Hydrocharitaceae
Elodea nuttallii,Hydrocharitaceae
Hydrilla verticillata,Hydrocharitaceae
Hydrocharis morsus-ranae,Hydrocharitaceae
Lagarosiphon major,Hydrocharitaceae
Najas flexilis,Hydrocharitaceae
Najas marina,Hydrocharitaceae
Stratiotes aloides,Hydrocharitaceae
Scheuchzeria palustris,Scheuchzeriaceae
Aponogeton distachyos,Aponogetonaceae
Triglochin maritima,Juncaginaceae
Triglochin palustris,Juncaginaceae
Zostera angustifolia,Zosteraceae
Zostera marina,Zosteraceae
Zostera noltei,Zosteraceae
Groenlandia densa,Potamogetonaceae
Potamogeton acutifolius,Potamogetonaceae
Potamogeton alpinus,Potamogetonaceae
Potamogeton berchtoldii,Potamogetonaceae
Potamogeton coloratus,Potamogetonaceae
Potamogeton compressus,Potamogetonaceae
Potamogeton crispus,Potamogetonaceae
Potamogeton epihydrus,Potamogetonaceae
Potamogeton friesii,Potamogetonaceae
Potamogeton gramineus,Potamogetonaceae
Potamogeton lucens,Potamogetonaceae
Potamogeton natans,Potamogetonaceae
Potamogeton nodosus,Potamogetonaceae
Potamogeton obtusifolius,Potamogetonaceae
Potamogeton perfoliatus,Potamogetonaceae
Potamogeton polygonifolius,Potamogetonaceae
Potamogeton praelongus,Potamogetonaceae
Potamogeton pusillus,Potamogetonaceae
Potamogeton rutilus,Potamogetonaceae
Potamogeton trichoides,Potamogetonaceae
Stuckenia filiformis,Potamogetonaceae
Stuckenia pectinata,Potamogetonaceae
Zannichellia obtusifolia,Potamogetonaceae
Zannichellia palustris,Potamogetonaceae
Ruppia maritima,Ruppiaceae
Ruppia spiralis,Ruppiaceae
Narthecium ossifragum,Nartheciaceae
Tamus communis,Dioscoreaceae
Paris quadrifolia,Melanthiaceae
Colchicum autumnale,Colchicaceae
Gagea bohemica,Liliaceae
Gagea lutea,Liliaceae
Gagea serotina,Liliaceae
Anacamptis morio,Orchidaceae
Anacamptis pyramidalis,Orchidaceae
Cephalanthera damasonium,Orchidaceae
Cephalanthera longifolia,Orchidaceae
Cephalanthera rubra,Orchidaceae
Coeloglossum viride,Orchidaceae
Corallorhiza trifida,Orchidaceae
Cypripedium calceolus,Orchidaceae
Dactylorhiza fuchsii,Orchidaceae
Dactylorhiza incarnata,Orchidaceae
Dactylorhiza kerryensis,Orchidaceae
Dactylorhiza maculata,Orchidaceae
Dactylorhiza praetermissa,Orchidaceae
Dactylorhiza purpurella,Orchidaceae
Dactylorhiza traunsteinerioides,Orchidaceae
Epipactis atrorubens,Orchidaceae
Epipactis dunensis,Orchidaceae
Epipactis helleborine,Orchidaceae
Epipactis leptochila,Orchidaceae
Epipactis palustris,Orchidaceae
Epipactis phyllanthes,Orchidaceae
Epipactis purpurata,Orchidaceae
Epipactis sancta,Orchidaceae
Epipogium aphyllum,Orchidaceae
Goodyera repens,Orchidaceae
Gymnadenia borealis,Orchidaceae
Gymnadenia conopsea,Orchidaceae
Gymnadenia densiflora,Orchidaceae
Hammarbya paludosa,Orchidaceae
Herminium monorchis,Orchidaceae
Himantoglossum hircinum,Orchidaceae
Liparis loeselii,Orchidaceae
Neotinea maculata,Orchidaceae
Neotinea ustulata,Orchidaceae
Neottia cordata,Orchidaceae
Neottia nidus-avis,Orchidaceae
Neottia ovata,Orchidaceae
Ophrys apifera,Orchidaceae
Ophrys fuciflora,Orchidaceae
Ophrys insectifera,Orchidaceae
Ophrys sphegodes,Orchidaceae
Orchis anthropophora,Orchidaceae
Orchis anthropophora,Orchidaceae
Orchis mascula,Orchidaceae
Orchis militaris,Orchidaceae
Orchis purpurea,Orchidaceae
Orchis simia,Orchidaceae
Platanthera bifolia,Orchidaceae
Platanthera chlorantha,Orchidaceae
Pseudorchis albida,Orchidaceae
Serapias parviflora,Orchidaceae
Spiranthes aestivalis,Orchidaceae
Spiranthes romanzoffiana,Orchidaceae
Spiranthes spiralis,Orchidaceae
Crocosmia pottsii x aurea = C. x crocosmiiflora,Iridaceae
Gladiolus illyricus,Iridaceae
Iris foetidissima,Iridaceae
Iris pseudacorus,Iridaceae
Romulea columnae,Iridaceae
Allium ampeloprasum,Amaryllidaceae
Allium oleraceum,Amaryllidaceae
Allium paradoxum,Amaryllidaceae
Allium schoenoprasum,Amaryllidaceae
Allium scorodoprasum,Amaryllidaceae
Allium sphaerocephalon,Amaryllidaceae
Allium triquetrum,Amaryllidaceae
Allium ursinum,Amaryllidaceae
Allium vineale,Amaryllidaceae
Narcissus pseudonarcissus,Amaryllidaceae
Asparagus prostratus,Asparagaceae
Convallaria majalis,Asparagaceae
Hyacinthoides hispanica,Asparagaceae
Hyacinthoides non-scripta,Asparagaceae
Maianthemum bifolium,Asparagaceae
Ornithogalum pyrenaicum,Asparagaceae
Polygonatum multiflorum,Asparagaceae
Polygonatum odoratum,Asparagaceae
Polygonatum verticillatum,Asparagaceae
Ruscus aculeatus,Asparagaceae
Scilla autumnalis,Asparagaceae
Scilla verna,Asparagaceae
Pontederia cordata,Pontederiaceae
Sparganium angustifolium,Typhaceae
Sparganium emersum,Typhaceae
Sparganium erectum,Typhaceae
Sparganium natans,Typhaceae
Typha angustifolia,Typhaceae
Typha latifolia,Typhaceae
Eriocaulon aquaticum,Eriocaulaceae
Juncus acutiflorus,Juncaceae
Juncus acutus,Juncaceae
Juncus alpinoarticulatus,Juncaceae
Juncus articulatus,Juncaceae
Juncus balticus,Juncaceae
Juncus biglumis,Juncaceae
Juncus bufonius,Juncaceae
Juncus bulbosus,Juncaceae
Juncus capitatus,Juncaceae
Juncus castaneus,Juncaceae
Juncus compressus,Juncaceae
Juncus conglomeratus,Juncaceae
Juncus effusus,Juncaceae
Juncus filiformis,Juncaceae
Juncus foliosus,Juncaceae
Juncus gerardii,Juncaceae
Juncus inflexus,Juncaceae
Juncus maritimus,Juncaceae
Juncus pygmaeus,Juncaceae
Juncus ranarius,Juncaceae
Juncus squarrosus,Juncaceae
Juncus subnodulosus,Juncaceae
Juncus trifidus,Juncaceae
Juncus triglumis,Juncaceae
Luzula arcuata,Juncaceae
Luzula campestris,Juncaceae
Luzula forsteri,Juncaceae
Luzula multiflora,Juncaceae
Luzula pallescens,Juncaceae
Luzula pallidula,Juncaceae
Luzula pilosa,Juncaceae
Luzula spicata,Juncaceae
Luzula sylvatica,Juncaceae
Blysmus compressus,Cyperaceae
Blysmus rufus,Cyperaceae
Bolboschoenus laticarpus,Cyperaceae
Bolboschoenus maritimus,Cyperaceae
Carex acuta,Cyperaceae
Carex acutiformis,Cyperaceae
Carex appropinquata,Cyperaceae
Carex aquatilis,Cyperaceae
Carex arenaria,Cyperaceae
Carex atrata,Cyperaceae
Carex atrofusca,Cyperaceae
Carex bigelowii,Cyperaceae
Carex binervis,Cyperaceae
Carex buxbaumii,Cyperaceae
Carex canescens,Cyperaceae
Carex capillaris,Cyperaceae
Carex caryophyllea,Cyperaceae
Carex cespitosa,Cyperaceae
Carex chordorrhiza,Cyperaceae
Carex davalliana,Cyperaceae
Carex demissa,Cyperaceae
Carex depauperata,Cyperaceae
Carex diandra,Cyperaceae
Carex digitata,Cyperaceae
Carex dioica,Cyperaceae
Carex distans,Cyperaceae
Carex disticha,Cyperaceae
Carex divisa,Cyperaceae
Carex echinata,Cyperaceae
Carex elata,Cyperaceae
Carex elongata,Cyperaceae
Carex ericetorum,Cyperaceae
Carex extensa,Cyperaceae
Carex filiformis,Cyperaceae
Carex flacca,Cyperaceae
Carex flava,Cyperaceae
Carex hirta,Cyperaceae
Carex hostiana,Cyperaceae
Carex humilis,Cyperaceae
Carex lachenalii,Cyperaceae
Carex laevigata,Cyperaceae
Carex lasiocarpa,Cyperaceae
Carex lepidocarpa,Cyperaceae
Carex leporina,Cyperaceae
Carex limosa,Cyperaceae
Carex magellanica,Cyperaceae
Carex maritima,Cyperaceae
Carex microglochin,Cyperaceae
Carex montana,Cyperaceae
Carex nigra,Cyperaceae
Carex norvegica,Cyperaceae
Carex ornithopoda,Cyperaceae
Carex otrubae,Cyperaceae
Carex pallescens,Cyperaceae
Carex panicea,Cyperaceae
Carex paniculata,Cyperaceae
Carex pauciflora,Cyperaceae
Carex pendula,Cyperaceae
Carex pilulifera,Cyperaceae
Carex pseudocyperus,Cyperaceae
Carex pulicaris,Cyperaceae
Carex punctata,Cyperaceae
Carex rariflora,Cyperaceae
Carex recta,Cyperaceae
Carex remota,Cyperaceae
Carex riparia,Cyperaceae
Carex rostrata,Cyperaceae
Carex rupestris,Cyperaceae
Carex salina,Cyperaceae
Carex saxatilis,Cyperaceae
Carex simpliciusulca,Cyperaceae
Carex spicata,Cyperaceae
Carex strigosa,Cyperaceae
Carex sylvatica,Cyperaceae
Carex trinervis,Cyperaceae
Carex vaginata,Cyperaceae
Carex vesicaria,Cyperaceae
Carex viridula,Cyperaceae
Carex vulpina,Cyperaceae
Cladium mariscus,Cyperaceae
Cyperus fuscus,Cyperaceae
Cyperus longus,Cyperaceae
Eleocharis acicularis,Cyperaceae
Eleocharis mamillata,Cyperaceae
Eleocharis multicaulis,Cyperaceae
Eleocharis palustris,Cyperaceae
Eleocharis parvula,Cyperaceae
Eleocharis quinqueflora,Cyperaceae
Eleocharis uniglumis,Cyperaceae
Eleogiton fluitans,Cyperaceae
Eriophorum angustifolium,Cyperaceae
Eriophorum gracile,Cyperaceae
Eriophorum latifolium,Cyperaceae
Eriophorum vaginatum,Cyperaceae
Isolepis cernua,Cyperaceae
Isolepis setacea,Cyperaceae
Rhynchospora alba,Cyperaceae
Rhynchospora fusca,Cyperaceae
Schoenoplectus lacustris,Cyperaceae
Schoenoplectus tabernaemontani,Cyperaceae
Schoenoplectus triqueter,Cyperaceae
Schoenus ferrugineus,Cyperaceae
Schoenus nigricans,Cyperaceae
Scirpoides holoschoenus,Cyperaceae
Scirpus sylvaticus,Cyperaceae
Trichophorum alpinum,Cyperaceae
Trichophorum cespitosum,Cyperaceae
Trichophorum germanicum,Cyperaceae
Agrostis canina,Poaceae
Agrostis capillaris,Poaceae
Agrostis curtisii,Poaceae
Agrostis gigantea,Poaceae
Agrostis stolonifera,Poaceae
Agrostis vinealis,Poaceae
Aira caryophyllea,Poaceae
Aira praecox,Poaceae
Alopecurus aequalis,Poaceae
Alopecurus bulbosus,Poaceae
Alopecurus geniculatus,Poaceae
Alopecurus magellanicus,Poaceae
Alopecurus myosuroides,Poaceae
Alopecurus pratensis,Poaceae
Ammophila arenaria,Poaceae
Anisantha diandra,Poaceae
Anisantha sterilis,Poaceae
Anthoxanthum odoratum,Poaceae
Apera spica-venti,Poaceae
Aristavena setacea,Poaceae
Arrhenatherum elatius,Poaceae
Avena fatua,Poaceae
Avena sativa,Poaceae
Avena strigosa,Poaceae
Avenella flexuosa,Poaceae
Avenula pubescens,Poaceae
Brachypodium pinnatum,Poaceae
Brachypodium rupestre,Poaceae
Brachypodium sylvaticum,Poaceae
Briza media,Poaceae
Briza minor,Poaceae
Bromopsis benekenii,Poaceae
Bromopsis erecta,Poaceae
Bromopsis ramosa,Poaceae
Bromus hordeaceus,Poaceae
Bromus interruptus,Poaceae
Bromus racemosus,Poaceae
Bromus secalinus,Poaceae
Calamagrostis canescens,Poaceae
Calamagrostis epigejos,Poaceae
Calamagrostis purpurea,Poaceae
Calamagrostis scotica,Poaceae
Calamagrostis stricta,Poaceae
Catabrosa aquatica,Poaceae
Catapodium marinum,Poaceae
Catapodium rigidum,Poaceae
Cortaderia selloana,Poaceae
Corynephorus canescens,Poaceae
Cynodon dactylon,Poaceae
Cynosurus cristatus,Poaceae
Dactylis glomerata,Poaceae
Danthonia decumbens,Poaceae
Deschampsia cespitosa,Poaceae
Drymochloa sylvatica,Poaceae
Elymus athericus,Poaceae
Elymus caninus,Poaceae
Elymus junceiformis,Poaceae
Elymus repens,Poaceae
Festuca arenaria,Poaceae
Festuca armoricana,Poaceae
Festuca filiformis,Poaceae
Festuca huonii,Poaceae
Festuca lemanii,Poaceae
Festuca longifolia,Poaceae
Festuca ovina,Poaceae
Festuca rubra,Poaceae
Festuca vivipara,Poaceae
Gastridium ventricosum,Poaceae
Gaudinia fragilis,Poaceae
Glyceria declinata,Poaceae
Glyceria fluitans,Poaceae
Glyceria maxima,Poaceae
Glyceria notata,Poaceae
Helictochloa pratensis,Poaceae
Helictotrichon pratense,Poaceae
Helictotrichon pubescens,Poaceae
Hierochloe odorata,Poaceae
Holcus lanatus,Poaceae
Holcus mollis,Poaceae
Hordelymus europaeus,Poaceae
Hordeum marinum,Poaceae
Hordeum murinum,Poaceae
Hordeum secalinum,Poaceae
Koeleria macrantha,Poaceae
Koeleria vallesiana,Poaceae
Leersia oryzoides,Poaceae
Leymus arenarius,Poaceae
Lolium perenne,Poaceae
Lolium temulentum,Poaceae
Melica nutans,Poaceae
Melica uniflora,Poaceae
Mibora minima,Poaceae
Milium effusum,Poaceae
Milium vernale,Poaceae
Molinia caerulea,Poaceae
Nardus stricta,Poaceae
Parapholis incurva,Poaceae
Parapholis strigosa,Poaceae
Phalaris arundinacea,Poaceae
Phleum alpinum,Poaceae
Phleum arenarium,Poaceae
Phleum bertolonii,Poaceae
Phleum phleoides,Poaceae
Phleum pratense,Poaceae
Phragmites australis,Poaceae
Poa alpina,Poaceae
Poa angustifolia,Poaceae
Poa annua,Poaceae
Poa bulbosa,Poaceae
Poa compressa,Poaceae
Poa flexuosa,Poaceae
Poa glauca,Poaceae
Poa humilis,Poaceae
Poa infirma,Poaceae
Poa nemoralis,Poaceae
Poa pratensis,Poaceae
Poa trivialis,Poaceae
Polypogon monspeliensis,Poaceae
Pseudosasa japonica,Poaceae
Puccinellia distans,Poaceae
Puccinellia fasciculata,Poaceae
Puccinellia maritima,Poaceae
Puccinellia rupestris,Poaceae
Sasa palmata,Poaceae
Sasaella ramosa,Poaceae
Schedonorus arundinaceus,Poaceae
Schedonorus giganteus,Poaceae
Schedonorus pratensis,Poaceae
Sesleria caerulea,Poaceae
Shedonorus arundinaceus,Poaceae
Shedonorus giganteus,Poaceae
Shedonorus pratensis,Poaceae
Spartina anglica,Poaceae
Spartina anglica,Poaceae
Spartina maritima,Poaceae
Trisetum flavescens,Poaceae
Vulpia bromoides,Poaceae
Vulpia ciliata,Poaceae
Vulpia fasciculata,Poaceae
Vulpia myuros,Poaceae
Vulpia unilateralis,Poaceae
,
